Model,Threshold,TP,FP,TN,FN,Accuracy,Precision,Recall,F1-score,False alarm rate,Warning workload,Warning workload percentage,False alarms,Missed hazardous cases,FN:FP cost ratio,Weighted cost,Cost per test record,Scenario
Random Forest,0.050000000000000003,44,369,356,7,0.51546391752577314,0.10653753026634383,0.86274509803921573,0.18965517241379309,0.50896551724137928,413,0.53221649484536082,369,7,1,376,0.4845360824742268,hypothetical; not empirically measured mine-specific costs
Random Forest,0.059999999999999998,43,335,390,8,0.5579896907216495,0.11375661375661375,0.84313725490196079,0.20046620046620048,0.46206896551724136,378,0.48711340206185566,335,8,1,343,0.4420103092783505,hypothetical; not empirically measured mine-specific costs
Random Forest,0.070000000000000007,43,311,414,8,0.58891752577319589,0.12146892655367232,0.84313725490196079,0.21234567901234569,0.42896551724137932,354,0.45618556701030927,311,8,1,319,0.41108247422680411,hypothetical; not empirically measured mine-specific costs
Random Forest,0.080000000000000002,42,295,430,9,0.60824742268041232,0.12462908011869436,0.82352941176470584,0.21649484536082475,0.40689655172413791,337,0.43427835051546393,295,9,1,304,0.39175257731958762,hypothetical; not empirically measured mine-specific costs
Random Forest,0.089999999999999997,41,276,449,10,0.63144329896907214,0.12933753943217666,0.80392156862745101,0.22282608695652173,0.38068965517241377,317,0.40850515463917525,276,10,1,286,0.36855670103092786,hypothetical; not empirically measured mine-specific costs
Random Forest,0.10000000000000001,40,258,467,11,0.65335051546391754,0.13422818791946309,0.78431372549019607,0.22922636103151864,0.35586206896551725,298,0.38402061855670105,258,11,1,269,0.34664948453608246,hypothetical; not empirically measured mine-specific costs
Random Forest,0.11,39,241,484,12,0.6739690721649485,0.13928571428571429,0.76470588235294112,0.23564954682779457,0.33241379310344826,280,0.36082474226804123,241,12,1,253,0.32603092783505155,hypothetical; not empirically measured mine-specific costs
Random Forest,0.12,37,223,502,14,0.69458762886597936,0.1423076923076923,0.72549019607843135,0.23794212218649519,0.30758620689655175,260,0.33505154639175255,223,14,1,237,0.30541237113402064,hypothetical; not empirically measured mine-specific costs
Random Forest,0.13,36,209,516,15,0.71134020618556704,0.14693877551020409,0.70588235294117652,0.24324324324324326,0.28827586206896549,245,0.31572164948453607,209,15,1,224,0.28865979381443296,hypothetical; not empirically measured mine-specific costs
Random Forest,0.14000000000000001,36,199,526,15,0.72422680412371132,0.15319148936170213,0.70588235294117652,0.25174825174825177,0.27448275862068966,235,0.30283505154639173,199,15,1,214,0.27577319587628868,hypothetical; not empirically measured mine-specific costs
Random Forest,0.14999999999999999,35,185,540,16,0.740979381443299,0.15909090909090909,0.68627450980392157,0.25830258302583026,0.25517241379310346,220,0.28350515463917525,185,16,1,201,0.25902061855670105,hypothetical; not empirically measured mine-specific costs
Random Forest,0.16,32,174,551,19,0.75128865979381443,0.1553398058252427,0.62745098039215685,0.24902723735408561,0.23999999999999999,206,0.2654639175257732,174,19,1,193,0.24871134020618557,hypothetical; not empirically measured mine-specific costs
Random Forest,0.17000000000000001,30,153,572,21,0.77577319587628868,0.16393442622950818,0.58823529411764708,0.25641025641025639,0.21103448275862069,183,0.23582474226804123,153,21,1,174,0.22422680412371135,hypothetical; not empirically measured mine-specific costs
Random Forest,0.17999999999999999,28,140,585,23,0.78994845360824739,0.16666666666666666,0.5490196078431373,0.25570776255707761,0.19310344827586207,168,0.21649484536082475,140,23,1,163,0.21005154639175258,hypothetical; not empirically measured mine-specific costs
Random Forest,0.19,28,130,595,23,0.80283505154639179,0.17721518987341772,0.5490196078431373,0.26794258373205743,0.1793103448275862,158,0.20360824742268041,130,23,1,153,0.19716494845360824,hypothetical; not empirically measured mine-specific costs
