Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
SVM,Balanced weighting,7,2,0.73828895463510846,0.14800292722435829,24,338,362
Logistic Regression,Balanced weighting,7,3,0.77847633136094663,0.24824519250538063,24,338,362
Random Forest,Balanced weighting,7,3,0.71782544378698232,0.20459460257603462,24,338,362
Gradient Boosting,Balanced weighting,7,3,0.73237179487179482,0.15688324394521741,24,338,362
SVM,Balanced weighting,7,3,0.69021203155818545,0.17856800972004017,24,338,362
Logistic Regression,Balanced weighting,7,4,0.77334705428350925,0.24227150896846164,23,338,361
Random Forest,Balanced weighting,7,4,0.70201955235400049,0.14109250793554151,23,338,361
Gradient Boosting,Balanced weighting,7,4,0.72337278106508862,0.17195023708955415,23,338,361
SVM,Balanced weighting,7,4,0.76807306405968612,0.27448491576514122,23,338,361
Logistic Regression,Balanced weighting,7,5,0.59347181008902083,0.10130976777636735,24,337,361
Random Forest,Balanced weighting,7,5,0.63693125618199797,0.12341910300240409,24,337,361
Gradient Boosting,Balanced weighting,7,5,0.68428536102868442,0.1354028220389559,24,337,361
SVM,Balanced weighting,7,5,0.64836795252225521,0.20984350215907399,24,337,361
Logistic Regression,Balanced weighting,8,1,0.76072485207100593,0.24668587525453384,24,338,362
Random Forest,Balanced weighting,8,1,0.71548323471400399,0.16667446740409469,24,338,362
Gradient Boosting,Balanced weighting,8,1,0.63221153846153844,0.14538535700895269,24,338,362
SVM,Balanced weighting,8,1,0.70081360946745552,0.15202370208494842,24,338,362
Logistic Regression,Balanced weighting,8,2,0.76417652859960561,0.20019767850858616,24,338,362
Random Forest,Balanced weighting,8,2,0.73015285996055224,0.20298071398178441,24,338,362
Gradient Boosting,Balanced weighting,8,2,0.72201676528599601,0.25728382801076144,24,338,362
SVM,Balanced weighting,8,2,0.7609714003944773,0.2475174877177059,24,338,362
Logistic Regression,Balanced weighting,8,3,0.77317554240631159,0.20153857911181011,24,338,362
Random Forest,Balanced weighting,8,3,0.72737919132149897,0.16471967987841471,24,338,362
Gradient Boosting,Balanced weighting,8,3,0.72238658777120313,0.15165768153975331,24,338,362
SVM,Balanced weighting,8,3,0.73138560157790933,0.21964288760439676,24,338,362
Logistic Regression,Balanced weighting,8,4,0.71854900951890921,0.25627575771413191,23,338,361
