Model,Strategy,Repeat,Fold,ROC-AUC,PR-AUC,Positive count,Negative count,Validation n
Random Forest,RandomOverSampler,9,3,0.70106015779092701,0.16537067404108549,24,338,362
Gradient Boosting,RandomOverSampler,9,3,0.73243343195266264,0.23192514407619652,24,338,362
SVM,RandomOverSampler,9,3,0.7203525641025641,0.21507997682446123,24,338,362
Logistic Regression,RandomOverSampler,9,4,0.8061487007975302,0.25404233261395259,23,338,361
Random Forest,RandomOverSampler,9,4,0.79643684075122212,0.2137650342372947,23,338,361
Gradient Boosting,RandomOverSampler,9,4,0.77051710830975051,0.26544019023647947,23,338,361
SVM,RandomOverSampler,9,4,0.74581939799331098,0.23580589649567948,23,338,361
Logistic Regression,RandomOverSampler,9,5,0.80304154302670627,0.31330738682848081,24,337,361
Random Forest,RandomOverSampler,9,5,0.81429277942631062,0.20315521509902995,24,337,361
Gradient Boosting,RandomOverSampler,9,5,0.7266320474777449,0.17664756320536384,24,337,361
SVM,RandomOverSampler,9,5,0.72242828882294752,0.13897510867829552,24,337,361
Logistic Regression,RandomOverSampler,10,1,0.73952169625246544,0.15023751355777645,24,338,362
Random Forest,RandomOverSampler,10,1,0.75024654832347137,0.16129125072665446,24,338,362
Gradient Boosting,RandomOverSampler,10,1,0.70685404339250502,0.16419724472637517,24,338,362
SVM,RandomOverSampler,10,1,0.68281558185404345,0.19338919164969132,24,338,362
Logistic Regression,RandomOverSampler,10,2,0.70475838264299817,0.22131586773491663,24,338,362
Random Forest,RandomOverSampler,10,2,0.64515532544378695,0.096580632597647598,24,338,362
Gradient Boosting,RandomOverSampler,10,2,0.65957840236686394,0.11930357442154436,24,338,362
SVM,RandomOverSampler,10,2,0.63782051282051277,0.10478996014749316,24,338,362
Logistic Regression,RandomOverSampler,10,3,0.82310157790927019,0.34184856126983254,24,338,362
Random Forest,RandomOverSampler,10,3,0.79930966469428011,0.28454403133643835,24,338,362
Gradient Boosting,RandomOverSampler,10,3,0.77403846153846168,0.27218382921678302,24,338,362
SVM,RandomOverSampler,10,3,0.78180473372781067,0.21554571036504305,24,338,362
Logistic Regression,RandomOverSampler,10,4,0.72227939284795484,0.19538633071373812,23,338,361
Random Forest,RandomOverSampler,10,4,0.71121687676871614,0.15303945341384234,23,338,361
Gradient Boosting,RandomOverSampler,10,4,0.73276305634165162,0.21284649888009932,23,338,361
SVM,RandomOverSampler,10,4,0.69179315667609975,0.20558856470221629,23,338,361
Logistic Regression,RandomOverSampler,10,5,0.68644906033630082,0.18576016090713512,24,337,361
Random Forest,RandomOverSampler,10,5,0.72125370919881315,0.30914897799055663,24,337,361
Gradient Boosting,RandomOverSampler,10,5,0.69448565776458959,0.16885508477519176,24,337,361
SVM,RandomOverSampler,10,5,0.70796241345202771,0.24226019740243993,24,337,361
