Model,Curve,x,y
Logistic Regression,PR,1,0.08673469387755102
Logistic Regression,PR,1,0.086882453151618397
Logistic Regression,PR,1,0.087030716723549492
Logistic Regression,PR,1,0.087179487179487175
Logistic Regression,PR,1,0.087328767123287673
Logistic Regression,PR,1,0.087478559176672382
Logistic Regression,PR,1,0.087628865979381437
Logistic Regression,PR,1,0.087779690189328741
Logistic Regression,PR,1,0.087931034482758616
Logistic Regression,PR,1,0.088082901554404139
Logistic Regression,PR,1,0.088235294117647065
Logistic Regression,PR,1,0.08838821490467938
Logistic Regression,PR,0.98039215686274506,0.086805555555555552
Logistic Regression,PR,0.98039215686274506,0.086956521739130432
Logistic Regression,PR,0.98039215686274506,0.087108013937282236
Logistic Regression,PR,0.98039215686274506,0.087260034904013961
Logistic Regression,PR,0.98039215686274506,0.087412587412587409
Logistic Regression,PR,0.98039215686274506,0.087565674255691769
Logistic Regression,PR,0.98039215686274506,0.08771929824561403
Logistic Regression,PR,0.98039215686274506,0.087873462214411252
Logistic Regression,PR,0.96078431372549022,0.086267605633802813
Logistic Regression,PR,0.96078431372549022,0.086419753086419748
Logistic Regression,PR,0.96078431372549022,0.086572438162544174
Logistic Regression,PR,0.96078431372549022,0.086725663716814158
Logistic Regression,PR,0.96078431372549022,0.086879432624113476
Logistic Regression,PR,0.96078431372549022,0.087033747779751328
Logistic Regression,PR,0.96078431372549022,0.087188612099644125
Logistic Regression,PR,0.96078431372549022,0.087344028520499106
Logistic Regression,PR,0.96078431372549022,0.087499999999999994
Logistic Regression,PR,0.96078431372549022,0.087656529516994638
Logistic Regression,PR,0.96078431372549022,0.087813620071684584
Logistic Regression,PR,0.96078431372549022,0.087971274685816878
Logistic Regression,PR,0.96078431372549022,0.088129496402877691
Logistic Regression,PR,0.96078431372549022,0.088288288288288289
Logistic Regression,PR,0.96078431372549022,0.088447653429602882
Logistic Regression,PR,0.96078431372549022,0.088607594936708861
Logistic Regression,PR,0.96078431372549022,0.088768115942028991
Logistic Regression,PR,0.96078431372549022,0.088929219600725959
Logistic Regression,PR,0.96078431372549022,0.089090909090909096
Logistic Regression,PR,0.96078431372549022,0.089253187613843349
Logistic Regression,PR,0.96078431372549022,0.089416058394160586
Logistic Regression,PR,0.96078431372549022,0.08957952468007313
Logistic Regression,PR,0.96078431372549022,0.089743589743589744
Logistic Regression,PR,0.96078431372549022,0.08990825688073395
Logistic Regression,PR,0.96078431372549022,0.090073529411764705
Logistic Regression,PR,0.96078431372549022,0.090239410681399637
Logistic Regression,PR,0.96078431372549022,0.090405904059040587
Logistic Regression,PR,0.96078431372549022,0.090573012939001843
Logistic Regression,PR,0.96078431372549022,0.090740740740740747
Logistic Regression,PR,0.96078431372549022,0.090909090909090912
Logistic Regression,PR,0.96078431372549022,0.091078066914498143
Logistic Regression,PR,0.96078431372549022,0.091247672253258846
Logistic Regression,PR,0.96078431372549022,0.091417910447761194
Logistic Regression,PR,0.96078431372549022,0.091588785046728974
Logistic Regression,PR,0.96078431372549022,0.091760299625468167
Logistic Regression,PR,0.96078431372549022,0.09193245778611632
Logistic Regression,PR,0.96078431372549022,0.092105263157894732
Logistic Regression,PR,0.96078431372549022,0.092278719397363471
Logistic Regression,PR,0.96078431372549022,0.092452830188679239
Logistic Regression,PR,0.96078431372549022,0.092627599243856329
Logistic Regression,PR,0.96078431372549022,0.092803030303030304
Logistic Regression,PR,0.96078431372549022,0.092979127134724851
Logistic Regression,PR,0.96078431372549022,0.093155893536121678
Logistic Regression,PR,0.96078431372549022,0.093333333333333338
Logistic Regression,PR,0.96078431372549022,0.093511450381679392
Logistic Regression,PR,0.96078431372549022,0.093690248565965584
Logistic Regression,PR,0.96078431372549022,0.093869731800766285
Logistic Regression,PR,0.96078431372549022,0.094049904030710174
Logistic Regression,PR,0.96078431372549022,0.094230769230769229
Logistic Regression,PR,0.96078431372549022,0.094412331406551059
Logistic Regression,PR,0.96078431372549022,0.0945945945945946
Logistic Regression,PR,0.96078431372549022,0.094777562862669251
Logistic Regression,PR,0.96078431372549022,0.094961240310077522
Logistic Regression,PR,0.96078431372549022,0.095145631067961159
Logistic Regression,PR,0.96078431372549022,0.095330739299610889
Logistic Regression,PR,0.96078431372549022,0.095516569200779722
Logistic Regression,PR,0.96078431372549022,0.095703125
Logistic Regression,PR,0.96078431372549022,0.095890410958904104
Logistic Regression,PR,0.96078431372549022,0.096078431372549025
Logistic Regression,PR,0.96078431372549022,0.096267190569744601
Logistic Regression,PR,0.96078431372549022,0.096456692913385822
Logistic Regression,PR,0.96078431372549022,0.096646942800788949
Logistic Regression,PR,0.96078431372549022,0.096837944664031617
Logistic Regression,PR,0.96078431372549022,0.097029702970297033
Logistic Regression,PR,0.96078431372549022,0.097222222222222224
Logistic Regression,PR,0.96078431372549022,0.097415506958250492
Logistic Regression,PR,0.96078431372549022,0.097609561752988044
Logistic Regression,PR,0.96078431372549022,0.097804391217564873
Logistic Regression,PR,0.96078431372549022,0.098000000000000004
Logistic Regression,PR,0.96078431372549022,0.098196392785571143
Logistic Regression,PR,0.96078431372549022,0.098393574297188757
Logistic Regression,PR,0.96078431372549022,0.098591549295774641
Logistic Regression,PR,0.96078431372549022,0.098790322580645157
Logistic Regression,PR,0.96078431372549022,0.098989898989898989
Logistic Regression,PR,0.94117647058823528,0.097165991902834009
Logistic Regression,PR,0.94117647058823528,0.097363083164300201
Logistic Regression,PR,0.92156862745098034,0.095528455284552852
Logistic Regression,PR,0.92156862745098034,0.095723014256619138
Logistic Regression,PR,0.92156862745098034,0.095918367346938774
Logistic Regression,PR,0.92156862745098034,0.096114519427402859
Logistic Regression,PR,0.92156862745098034,0.096311475409836061
Logistic Regression,PR,0.92156862745098034,0.096509240246406572
Logistic Regression,PR,0.92156862745098034,0.096707818930041156
Logistic Regression,PR,0.92156862745098034,0.096907216494845363
Logistic Regression,PR,0.92156862745098034,0.097107438016528921
Logistic Regression,PR,0.92156862745098034,0.097308488612836433
Logistic Regression,PR,0.92156862745098034,0.097510373443983403
Logistic Regression,PR,0.92156862745098034,0.097713097713097719
Logistic Regression,PR,0.92156862745098034,0.097916666666666666
Logistic Regression,PR,0.92156862745098034,0.098121085594989568
Logistic Regression,PR,0.92156862745098034,0.09832635983263599
Logistic Regression,PR,0.92156862745098034,0.09853249475890985
Logistic Regression,PR,0.90196078431372551,0.096638655462184878
