Resample,Model,ROC-AUC,PR-AUC,Recall,Precision,Brier Score,Positive count,Negative count,Precision zero division applied,Undefined metric reason
48,Random Forest,0.75759296822177147,0.22247173313244073,0.13725490196078433,0.33333333333333331,0.062952577319587616,51,725,False,none
48,Gradient Boosting,0.78505747126436787,0.33927210807259556,0.39215686274509803,0.24691358024691357,0.097197732849074903,51,725,False,none
48,SVM,0.68773495605138613,0.15375891567052452,0,0,0.059081176510344426,51,725,True,No positive predictions; precision defined as zero
49,Logistic Regression,0.81108857336037854,0.2846984027594891,0.6470588235294118,0.21019108280254778,0.16348185169550514,51,725,False,none
49,Random Forest,0.80668018931710617,0.31262473487149955,0.23529411764705882,0.44444444444444442,0.059514561855670105,51,725,False,none
49,Gradient Boosting,0.7558485463150777,0.32037369038363478,0.41176470588235292,0.22340425531914893,0.10364160498696399,51,725,False,none
49,SVM,0.73427991886409738,0.21386284938217151,0,0,0.057789481249121484,51,725,True,No positive predictions; precision defined as zero
50,Logistic Regression,0.80148749154834342,0.2093229680845009,0.68627450980392157,0.20231213872832371,0.17141125145099789,51,725,False,none
50,Random Forest,0.7982014874915484,0.28617696670031134,0.13725490196078433,0.26923076923076922,0.06351649484536083,51,725,False,none
50,Gradient Boosting,0.7113184584178498,0.25327675729321464,0.39215686274509803,0.16949152542372881,0.11964044263831636,51,725,False,none
50,SVM,0.71534820824881684,0.18457012543662044,0,0,0.058903239745139856,51,725,True,No positive predictions; precision defined as zero
51,Logistic Regression,0.75110209601081812,0.18693085281637531,0.50980392156862742,0.17333333333333334,0.16589434095796324,51,725,False,none
51,Random Forest,0.76118999323867476,0.24632790509521102,0.13725490196078433,0.34999999999999998,0.06268582474226804,51,725,False,none
51,Gradient Boosting,0.69411764705882351,0.20537599523861275,0.35294117647058826,0.17821782178217821,0.11049380766077602,51,725,False,none
51,SVM,0.68405679513184581,0.18792874824415678,0,0,0.058446410081213762,51,725,True,No positive predictions; precision defined as zero
52,Logistic Regression,0.81003380662609858,0.20620365606063595,0.70588235294117652,0.21052631578947367,0.16776121799831811,51,725,False,none
52,Random Forest,0.73533468559837734,0.20479746456570169,0.13725490196078433,0.2413793103448276,0.068530927835051561,51,725,False,none
52,Gradient Boosting,0.7575388776200136,0.22238045922559938,0.37254901960784315,0.18095238095238095,0.10945161667914434,51,725,False,none
52,SVM,0.69766058147396892,0.14058727726493941,0,0,0.059404613518771167,51,725,True,No positive predictions; precision defined as zero
53,Logistic Regression,0.7706017579445571,0.1732459911620548,0.58823529411764708,0.16759776536312848,0.18577429589464226,51,725,False,none
53,Random Forest,0.74997971602434066,0.31826740460438252,0.23529411764705882,0.38709677419354838,0.064141752577319591,51,725,False,none
53,Gradient Boosting,0.74050033806626092,0.26364085243770774,0.47058823529411764,0.1875,0.12203078723693886,51,725,False,none
53,SVM,0.68951994590939825,0.18001582689234533,0,0,0.058349788879793793,51,725,True,No positive predictions; precision defined as zero
54,Logistic Regression,0.77336037863421225,0.23037808199162138,0.60784313725490191,0.18452380952380953,0.16958341606665556,51,725,False,none
54,Random Forest,0.76102772143340092,0.31909779689913886,0.19607843137254902,0.41666666666666669,0.059732216494845364,51,725,False,none
54,Gradient Boosting,0.73663286004056805,0.3108622209830344,0.43137254901960786,0.22222222222222221,0.10585417613250553,51,725,False,none
54,SVM,0.68781609195402293,0.1776136156408672,0,0,0.058680941376407211,51,725,True,No positive predictions; precision defined as zero
55,Logistic Regression,0.7347126436781608,0.16172172002172505,0.56862745098039214,0.17791411042944785,0.18019420734255712,51,725,False,none
55,Random Forest,0.7190669371196754,0.20139176136846523,0.15686274509803921,0.30769230769230771,0.06718891752577319,51,725,False,none
55,Gradient Boosting,0.71421230561189997,0.19014451223433204,0.37254901960784315,0.16964285714285715,0.1201532834770969,51,725,False,none
55,SVM,0.65592968221771464,0.14243442733645501,0,0,0.059765189904700852,51,725,True,No positive predictions; precision defined as zero
56,Logistic Regression,0.80619337390128465,0.22436325428333323,0.66666666666666663,0.18888888888888888,0.17499382284809092,51,725,False,none
56,Random Forest,0.77118323191345506,0.19053557520203468,0.098039215686274508,0.20833333333333334,0.065063273195876278,51,725,False,none
